Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Loan_Status
337370,Long Term,717.0,1146004.0,1.0,Rent,1
765688,Long Term,706.0,5951484.0,3.0,Rent,1
468908,Long Term,6470.0,1833842.0,8.0,Rent,0
219428,Short Term,712.0,1301671.0,5.950381280685262,Rent,1
574904,Short Term,706.0,1306592.0,9.0,Rent,1
401192,Short Term,704.0,1539912.0,10.0,Rent,1
257444,Short Term,736.0,648508.0,10.0,Rent,0
309694,Long Term,1077.9915201396682,1369106.0397805213,10.0,Own Home,1
214258,Short Term,1077.9915201396682,1369106.0397805213,1.0,Rent,1
325754,Short Term,1077.9915201396682,1369106.0397805213,4.0,Home Mortgage,1
651354,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
262108,Short Term,733.0,855342.0,7.0,Rent,1
310376,Short Term,1077.9915201396682,1369106.0397805213,2.0,Rent,1
429616,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
414744,Short Term,706.0,1164225.0,10.0,Rent,1
654126,Long Term,646.0,2504504.0,9.0,Home Mortgage,1
539990,Long Term,682.0,1790807.0,2.0,Home Mortgage,1
531476,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
316426,Long Term,717.0,683183.0,1.0,Rent,0
473902,Long Term,713.0,1042511.0,5.0,Home Mortgage,0
223344,Short Term,716.0,1195898.0,10.0,Rent,0
766238,Long Term,649.0,1796165.0,1.0,Rent,0
471152,Long Term,688.0,1017279.0,1.0,Rent,1
563486,Short Term,747.0,2647308.0,2.0,Rent,1
219824,Long Term,702.0,2088328.0,1.0,Home Mortgage,0
304986,Long Term,674.0,4872778.0,3.0,Rent,1
105666,Long Term,742.0,806170.0,4.0,Home Mortgage,0
346412,Short Term,1077.9915201396682,1369106.0397805213,9.0,Home Mortgage,1
253506,Long Term,733.0,1403492.0,4.0,Rent,0
170126,Short Term,712.0,1137492.0,3.0,Rent,1
134398,Short Term,746.0,2205425.0,10.0,Own Home,1
442948,Long Term,719.0,956365.0,2.0,Rent,0
142868,Short Term,740.0,2429815.0,10.0,Rent,1
332508,Short Term,707.0,926345.0,4.0,Home Mortgage,1
235950,Short Term,726.0,1164396.0,7.0,Own Home,1
290708,Short Term,7440.0,1487776.0,10.0,Rent,0
153714,Short Term,740.0,995714.0,10.0,Home Mortgage,1
69366,Short Term,731.0,1273133.0,3.0,Rent,1
108878,Short Term,751.0,1316434.0,10.0,Home Mortgage,1
288068,Long Term,685.0,948062.0,2.0,Rent,0
447436,Long Term,722.0,1159266.0,10.0,Home Mortgage,0
401192,Short Term,721.0,1116440.0,4.0,Rent,1
165440,Short Term,1077.9915201396682,1369106.0397805213,3.0,Home Mortgage,1
168124,Short Term,7110.0,967955.0,1.0,Rent,0
306460,Long Term,652.0,3503106.0,7.0,Rent,1
657162,Short Term,740.0,3783660.0,3.0,Home Mortgage,1
314072,Short Term,748.0,627722.0,10.0,Rent,1
763686,Long Term,740.0,2581663.0,3.0,Rent,1
526900,Long Term,667.0,1516808.0,10.0,Rent,0
330132,Short Term,743.0,1520608.0,8.0,Rent,1
774928,Short Term,1077.9915201396682,1369106.0397805213,1.0,Home Mortgage,1
531124,Long Term,1077.9915201396682,1369106.0397805213,1.0,Home Mortgage,1
292072,Short Term,1077.9915201396682,1369106.0397805213,4.0,Home Mortgage,1
99999999,Short Term,746.0,1132590.0,8.0,Rent,1
107668,Short Term,747.0,1394790.0,4.0,Home Mortgage,1
268906,Short Term,738.0,909606.0,1.0,Rent,1
62172,Short Term,1077.9915201396682,1369106.0397805213,1.0,Rent,1
156398,Short Term,716.0,1234962.0,10.0,Home Mortgage,1
44198,Long Term,717.0,839838.0,10.0,Home Mortgage,1
765314,Long Term,690.0,1888410.0,5.0,Home Mortgage,0
232364,Short Term,742.0,580260.0,5.0,Home Mortgage,1
141724,Short Term,7150.0,847400.0,5.0,Rent,0
180356,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
111408,Short Term,736.0,1346891.0,3.0,Rent,1
161854,Short Term,701.0,660079.0,2.0,Home Mortgage,0
145046,Short Term,730.0,832428.0,3.0,Rent,0
272976,Long Term,1077.9915201396682,1369106.0397805213,1.0,Home Mortgage,0
61358,Short Term,746.0,454214.0,2.0,Rent,1
152196,Short Term,1077.9915201396682,1369106.0397805213,3.0,Rent,1
313676,Long Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
293436,Short Term,730.0,1357531.0,10.0,Rent,1
773696,Long Term,697.0,2959136.0,8.0,Home Mortgage,1
129844,Short Term,727.0,1214746.0,8.0,Home Mortgage,1
211156,Long Term,717.0,1177848.0,5.0,Home Mortgage,0
224202,Short Term,699.0,619609.0,2.0,Rent,0
150942,Short Term,1077.9915201396682,1369106.0397805213,4.0,Home Mortgage,1
442706,Long Term,648.0,1593036.0,10.0,Home Mortgage,1
403700,Long Term,673.0,1458136.0,5.0,Rent,0
217756,Long Term,738.0,752248.0,5.0,Rent,0
99999999,Short Term,749.0,1483881.0,4.0,Rent,1
404734,Long Term,657.0,1209977.0,1.0,Home Mortgage,0
260744,Long Term,704.0,2683579.0,3.0,Home Mortgage,1
490226,Long Term,6640.0,1896390.0,10.0,Home Mortgage,0
328614,Short Term,707.0,794656.0,7.0,Home Mortgage,0
99999999,Short Term,712.0,1874920.0,7.0,Rent,1
54736,Short Term,707.0,1550362.0,10.0,Home Mortgage,1
71962,Short Term,743.0,310783.0,1.0,Rent,0
180026,Short Term,1077.9915201396682,1369106.0397805213,2.0,Rent,1
324632,Short Term,1077.9915201396682,1369106.0397805213,5.0,Rent,1
120736,Short Term,725.0,1137606.0,1.0,Rent,1
99999999,Short Term,675.0,782686.0,5.0,Rent,1
259908,Short Term,1077.9915201396682,1369106.0397805213,1.0,Home Mortgage,0
99999999,Short Term,721.0,661808.0,5.0,Home Mortgage,1
539836,Long Term,720.0,1995399.0,10.0,Rent,0
518804,Short Term,1077.9915201396682,1369106.0397805213,3.0,Home Mortgage,0
99999999,Short Term,728.0,775276.0,3.0,Rent,1
99999999,Short Term,742.0,2406825.0,4.0,Home Mortgage,1
468754,Short Term,746.0,1773517.0,10.0,Home Mortgage,1
430628,Short Term,1077.9915201396682,1369106.0397805213,3.0,Home Mortgage,1
213004,Long Term,731.0,1316814.0,10.0,Home Mortgage,1
235026,Long Term,724.0,966530.0,9.0,Home Mortgage,0
517484,Short Term,748.0,1955309.0,10.0,Home Mortgage,1
99999999,Short Term,709.0,755060.0,7.0,Rent,1
240548,Long Term,695.0,1556974.0,6.0,Home Mortgage,0
781946,Long Term,643.0,1736505.0,10.0,Home Mortgage,0
99999999,Short Term,745.0,728992.0,4.0,Rent,1
761684,Short Term,747.0,1597558.0,10.0,Home Mortgage,1
126346,Short Term,714.0,858458.0,8.0,Rent,0
248094,Short Term,725.0,557745.0,1.0,Rent,0
220858,Short Term,1077.9915201396682,1369106.0397805213,7.0,Home Mortgage,1
335082,Short Term,1077.9915201396682,1369106.0397805213,7.0,Rent,1
210892,Short Term,746.0,739898.0,1.0,Rent,1
443916,Short Term,738.0,2396147.0,2.0,Rent,1
390170,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,0
436700,Short Term,1077.9915201396682,1369106.0397805213,10.0,Rent,1
756448,Short Term,741.0,1530583.0,4.0,Home Mortgage,1
178310,Short Term,716.0,1308929.0,5.0,Rent,1
99999999,Short Term,708.0,805391.0,5.0,Rent,1
268884,Long Term,1077.9915201396682,1369106.0397805213,5.0,Home Mortgage,1
310244,Short Term,745.0,1456217.0,3.0,Rent,1
99999999,Long Term,737.0,1553744.0,4.0,Home Mortgage,1
661892,Short Term,742.0,1849023.0,2.0,Home Mortgage,1
225522,Short Term,743.0,1685547.0,10.0,Home Mortgage,1
229944,Short Term,708.0,584934.0,1.0,Own Home,1
72424,Short Term,737.0,786695.0,8.0,Home Mortgage,1
537922,Short Term,742.0,2032506.0,8.0,Home Mortgage,1
359700,Short Term,713.0,1941610.0,10.0,Home Mortgage,1
320584,Long Term,606.0,894349.0,5.950381280685262,Home Mortgage,0
99999999,Short Term,709.0,1465394.0,8.0,Home Mortgage,1
620796,Long Term,713.0,2393525.0,2.0,Rent,0
257642,Short Term,741.0,3152157.0,2.0,Rent,1
87208,Short Term,707.0,1977254.0,10.0,Home Mortgage,1
44330,Short Term,675.0,765700.0,10.0,Home Mortgage,1
123156,Short Term,731.0,1063715.0,1.0,Own Home,1
782254,Long Term,634.0,3223445.0,10.0,Rent,0
21670,Short Term,713.0,805068.0,10.0,Rent,1
270028,Short Term,1077.9915201396682,1369106.0397805213,3.0,Home Mortgage,1
393228,Short Term,683.0,1320690.0,4.0,Rent,1
125422,Short Term,735.0,928511.0,7.0,Home Mortgage,1
99999999,Long Term,707.0,2012803.0,5.950381280685262,Home Mortgage,1
389224,Short Term,1077.9915201396682,1369106.0397805213,5.0,Rent,1
431640,Short Term,722.0,2329875.0,4.0,Home Mortgage,1
75064,Short Term,697.0,375858.0,3.0,Rent,1
80938,Long Term,695.0,431034.0,1.0,Rent,1
298298,Long Term,701.0,1217843.0,10.0,Home Mortgage,0
295966,Long Term,1077.9915201396682,1369106.0397805213,5.0,Rent,1
108064,Short Term,731.0,597303.0,3.0,Rent,1
256982,Short Term,1077.9915201396682,1369106.0397805213,8.0,Home Mortgage,1
216722,Short Term,710.0,580222.0,1.0,Rent,0
427790,Long Term,1077.9915201396682,1369106.0397805213,5.950381280685262,Own Home,0
354860,Short Term,7350.0,1436552.0,10.0,Home Mortgage,0
354882,Short Term,732.0,948214.0,6.0,Home Mortgage,0
475244,Short Term,736.0,1772339.0,8.0,Home Mortgage,1
140976,Short Term,707.0,1311114.0,4.0,Rent,0
110924,Short Term,701.0,728061.0,10.0,Rent,0
112222,Short Term,732.0,1259947.0,10.0,Home Mortgage,1
179300,Short Term,706.0,1025924.0,10.0,Rent,1
270160,Short Term,709.0,1555416.0,2.0,Rent,1
99999999,Long Term,701.0,1381813.0,10.0,Rent,1
340186,Long Term,652.0,1700424.0,10.0,Home Mortgage,1
99999999,Short Term,746.0,846944.0,10.0,Rent,1
238656,Short Term,737.0,993111.0,9.0,Rent,1
222530,Short Term,708.0,768740.0,1.0,Own Home,1
99999999,Short Term,746.0,1172908.0,5.950381280685262,Home Mortgage,1
162184,Short Term,731.0,465006.0,3.0,Rent,1
533544,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
228778,Short Term,7400.0,676305.0,10.0,Rent,0
300916,Short Term,737.0,1386050.0,6.0,Rent,1
235972,Long Term,1077.9915201396682,1369106.0397805213,6.0,Rent,0
328262,Short Term,749.0,2097828.0,3.0,Home Mortgage,1
523248,Short Term,663.0,1788983.0,1.0,Rent,0
99999999,Long Term,720.0,1704452.0,7.0,Home Mortgage,1
245938,Short Term,707.0,1024043.0,10.0,Rent,1
525932,Short Term,732.0,1684407.0,10.0,Home Mortgage,1
448228,Short Term,744.0,1354871.0,10.0,Home Mortgage,1
347710,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
182116,Short Term,1077.9915201396682,1369106.0397805213,1.0,Rent,1
220682,Short Term,712.0,2858835.0,6.0,Rent,0
448756,Short Term,706.0,1162686.0,3.0,Rent,1
186912,Short Term,740.0,484747.0,5.0,Rent,1
221518,Short Term,727.0,1243531.0,9.0,Home Mortgage,1
395648,Short Term,1077.9915201396682,1369106.0397805213,5.0,Rent,1
527054,Long Term,744.0,2465554.0,8.0,Rent,1
458964,Long Term,704.0,1581731.0,10.0,Home Mortgage,1
79178,Short Term,676.0,382508.0,2.0,Home Mortgage,1
220594,Long Term,744.0,609634.0,5.950381280685262,Home Mortgage,0
218350,Short Term,733.0,1470429.0,5.950381280685262,Rent,1
351538,Short Term,698.0,1214423.0,1.0,Home Mortgage,1
126170,Short Term,1077.9915201396682,1369106.0397805213,5.950381280685262,Rent,1
333960,Long Term,1077.9915201396682,1369106.0397805213,8.0,Rent,1
156486,Short Term,719.0,637089.0,5.0,Home Mortgage,1
128040,Short Term,730.0,1551920.0,10.0,Home Mortgage,1
99999999,Short Term,745.0,1713420.0,10.0,Rent,1
99999999,Short Term,750.0,1401782.0,10.0,Home Mortgage,1
219670,Short Term,744.0,1271100.0,1.0,Rent,1
328504,Short Term,1077.9915201396682,1369106.0397805213,10.0,Rent,1
88220,Short Term,746.0,1047622.0,9.0,Rent,1
524348,Long Term,1077.9915201396682,1369106.0397805213,8.0,Home Mortgage,0
336006,Short Term,721.0,1166942.0,10.0,Rent,1
99999999,Short Term,745.0,1663089.0,10.0,Home Mortgage,1
184514,Short Term,1077.9915201396682,1369106.0397805213,5.0,Own Home,1
258302,Short Term,730.0,743584.0,2.0,Home Mortgage,0
769010,Short Term,729.0,2808352.0,1.0,Home Mortgage,1
433268,Long Term,668.0,2982183.0,10.0,Home Mortgage,1
127182,Short Term,740.0,859617.0,10.0,Own Home,1
349580,Short Term,749.0,1320823.0,10.0,Rent,1
179058,Short Term,717.0,1799680.0,2.0,Rent,1
222618,Short Term,729.0,1441967.0,10.0,Home Mortgage,1
483670,Long Term,7030.0,949335.0,7.0,Home Mortgage,0
445852,Short Term,745.0,1867510.0,1.0,Rent,1
129008,Short Term,746.0,523697.0,7.0,Rent,1
715682,Long Term,1077.9915201396682,1369106.0397805213,10.0,Rent,0
481316,Short Term,7070.0,965827.0,10.0,Rent,0
174658,Short Term,7450.0,754224.0,10.0,Home Mortgage,0
89892,Short Term,741.0,2524416.0,1.0,Rent,1
99999999,Short Term,749.0,1719918.0,10.0,Home Mortgage,1
222332,Long Term,1077.9915201396682,1369106.0397805213,9.0,Home Mortgage,0
256036,Long Term,694.0,1795443.0,10.0,Own Home,1
454630,Long Term,656.0,2020935.0,10.0,Home Mortgage,0
288178,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
215270,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,0
99999999,Long Term,741.0,616341.0,3.0,Rent,1
733172,Long Term,706.0,1417590.0,10.0,Home Mortgage,0
385330,Long Term,737.0,1336669.0,1.0,Home Mortgage,1
191510,Short Term,1077.9915201396682,1369106.0397805213,1.0,Rent,0
380138,Short Term,741.0,946276.0,1.0,Home Mortgage,1
155210,Short Term,736.0,861764.0,10.0,Rent,1
225456,Short Term,1077.9915201396682,1369106.0397805213,9.0,Rent,0
87362,Short Term,729.0,584706.0,9.0,Rent,1
99999999,Long Term,703.0,1121988.0,2.0,Home Mortgage,1
435820,Long Term,650.0,1505560.0,2.0,Rent,0
346764,Short Term,702.0,1123014.0,1.0,Rent,1
111914,Short Term,718.0,947131.0,5.0,Rent,1
767844,Long Term,714.0,1724155.0,1.0,Home Mortgage,0
498850,Long Term,715.0,1115262.0,10.0,Home Mortgage,1
430364,Short Term,1077.9915201396682,1369106.0397805213,3.0,Home Mortgage,1
285604,Short Term,706.0,853803.0,10.0,Home Mortgage,1
135234,Short Term,1077.9915201396682,1369106.0397805213,1.0,Home Mortgage,1
182886,Short Term,713.0,1897340.0,1.0,Home Mortgage,1
64680,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
161150,Short Term,732.0,1410997.0,1.0,Home Mortgage,1
377740,Long Term,652.0,1039338.0,7.0,Rent,1
309738,Long Term,657.0,741228.0,7.0,Home Mortgage,1
384252,Short Term,1077.9915201396682,1369106.0397805213,5.0,Home Mortgage,1
222728,Short Term,731.0,1154136.0,1.0,Rent,1
313060,Short Term,1077.9915201396682,1369106.0397805213,3.0,Home Mortgage,1
221782,Short Term,732.0,2777325.0,10.0,Home Mortgage,1
206404,Short Term,1077.9915201396682,1369106.0397805213,9.0,Home Mortgage,1
331936,Short Term,1077.9915201396682,1369106.0397805213,10.0,Rent,1
221144,Long Term,665.0,611154.0,2.0,Own Home,0
145684,Short Term,693.0,813010.0,4.0,Rent,1
70334,Short Term,705.0,552843.0,4.0,Rent,1
243672,Long Term,6620.0,682499.0,4.0,Rent,0
87736,Short Term,664.0,606176.0,2.0,Rent,1
99999999,Short Term,750.0,1428477.0,3.0,Home Mortgage,1
232804,Short Term,725.0,696749.0,5.0,Rent,1
131362,Short Term,701.0,1058794.0,10.0,Rent,0
646272,Short Term,710.0,2232576.0,5.0,Home Mortgage,0
179366,Short Term,725.0,2071836.0,1.0,Rent,1
216942,Short Term,747.0,786904.0,10.0,Own Home,1
174944,Short Term,740.0,1582852.0,7.0,Rent,1
304216,Short Term,740.0,4766644.0,1.0,Home Mortgage,1
582648,Long Term,698.0,1645039.0,2.0,Rent,1
76670,Short Term,696.0,375706.0,3.0,Rent,1
654720,Long Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,0
221892,Long Term,706.0,804859.0,3.0,Own Home,0
443498,Long Term,1077.9915201396682,1369106.0397805213,1.0,Home Mortgage,1
191136,Short Term,735.0,528998.0,7.0,Rent,1
452804,Long Term,720.0,874418.0,4.0,Home Mortgage,0
260194,Long Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,0
267410,Long Term,712.0,1758241.0,1.0,Home Mortgage,0
350526,Long Term,7280.0,1135212.0,1.0,Home Mortgage,0
264396,Short Term,740.0,847476.0,10.0,Own Home,1
336380,Short Term,704.0,2227180.0,8.0,Rent,1
520124,Short Term,741.0,1901330.0,7.0,Home Mortgage,1
133694,Short Term,734.0,1178646.0,7.0,Home Mortgage,1
177144,Short Term,668.0,563160.0,3.0,Rent,1
170214,Short Term,722.0,836475.0,3.0,Home Mortgage,1
665962,Long Term,690.0,1508600.0,10.0,Home Mortgage,0
218834,Long Term,721.0,1360742.0,10.0,Rent,0
99999999,Short Term,735.0,1539152.0,5.0,Rent,1
280038,Short Term,703.0,1317498.0,1.0,Own Home,1
130724,Short Term,748.0,1279593.0,2.0,Home Mortgage,1
99999999,Short Term,747.0,2328925.0,10.0,Home Mortgage,1
99110,Short Term,740.0,296951.0,5.950381280685262,Rent,1
326304,Short Term,1077.9915201396682,1369106.0397805213,10.0,Rent,1
500456,Long Term,689.0,1500088.0,8.0,Rent,1
433180,Long Term,1077.9915201396682,1369106.0397805213,10.0,Own Home,0
216084,Short Term,1077.9915201396682,1369106.0397805213,9.0,Own Home,1
713152,Long Term,6170.0,3041520.0,3.0,Rent,0
771936,Long Term,727.0,1828560.0,7.0,Home Mortgage,0
153560,Short Term,745.0,1023131.0,4.0,Home Mortgage,1
99999999,Long Term,670.0,1711463.0,7.0,Home Mortgage,1
107756,Short Term,751.0,651377.0,10.0,Home Mortgage,0
113718,Short Term,723.0,555788.0,5.950381280685262,Own Home,1
217382,Long Term,671.0,938695.0,8.0,Rent,1
130900,Short Term,729.0,847913.0,1.0,Rent,1
225126,Short Term,719.0,1788736.0,7.0,Home Mortgage,1
216414,Short Term,1077.9915201396682,1369106.0397805213,9.0,Rent,0
151492,Short Term,715.0,392502.0,10.0,Rent,0
618838,Short Term,1077.9915201396682,1369106.0397805213,9.0,Rent,1
218988,Short Term,722.0,658160.0,1.0,Rent,1
160424,Short Term,734.0,1289302.0,3.0,Home Mortgage,1
269148,Long Term,608.0,1878948.0,10.0,Home Mortgage,0
57420,Short Term,679.0,273695.0,5.950381280685262,Home Mortgage,1
99999999,Long Term,728.0,1396785.0,10.0,Home Mortgage,1
394482,Long Term,713.0,1206975.0,10.0,Rent,0
99999999,Short Term,735.0,648185.0,4.0,Rent,1
204864,Short Term,621.0,969475.0,2.0,Home Mortgage,1
318560,Short Term,737.0,1154364.0,10.0,Home Mortgage,1
763532,Long Term,649.0,1714484.0,10.0,Rent,1
52184,Short Term,712.0,958740.0,1.0,Rent,1
130130,Short Term,743.0,2247624.0,2.0,Own Home,1
480172,Short Term,711.0,1215810.0,1.0,Rent,1
66902,Short Term,692.0,1208609.0,5.950381280685262,Own Home,0
768086,Short Term,718.0,3508483.0,10.0,Home Mortgage,1
301400,Short Term,1077.9915201396682,1369106.0397805213,3.0,Home Mortgage,0
545710,Long Term,6400.0,1470448.0,10.0,Rent,0
51612,Short Term,731.0,742824.0,6.0,Own Home,1
427724,Short Term,742.0,2091881.0,9.0,Home Mortgage,1
99999999,Short Term,735.0,729429.0,7.0,Rent,1
66638,Short Term,721.0,1826204.0,4.0,Rent,1
334532,Short Term,738.0,2022341.0,3.0,Rent,1
674388,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
666072,Short Term,731.0,1917480.0,3.0,Own Home,1
245718,Short Term,692.0,926041.0,1.0,Rent,1
581724,Long Term,6980.0,1137492.0,10.0,Rent,0
267960,Short Term,698.0,1060675.0,5.0,Rent,0
536294,Long Term,720.0,1235095.0,6.0,Home Mortgage,0
365464,Long Term,692.0,798380.0,10.0,Home Mortgage,0
283294,Short Term,731.0,1156701.0,1.0,Home Mortgage,1
66836,Short Term,730.0,865868.0,3.0,Rent,1
399212,Long Term,722.0,957695.0,6.0,Rent,1
492140,Long Term,735.0,1062556.0,10.0,Rent,1
64372,Short Term,705.0,926440.0,7.0,Home Mortgage,0
335214,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,0
152482,Short Term,717.0,2050499.0,10.0,Home Mortgage,1
536184,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
317966,Short Term,711.0,1830745.0,7.0,Rent,1
450538,Long Term,6600.0,886065.0,10.0,Home Mortgage,0
195668,Long Term,710.0,1306801.0,9.0,Rent,0
99999999,Short Term,748.0,1678023.0,10.0,Home Mortgage,1
99999999,Long Term,744.0,1041105.0,9.0,Own Home,1
535920,Long Term,651.0,1062442.0,3.0,Home Mortgage,0
577808,Long Term,674.0,1084919.0,10.0,Home Mortgage,0
258830,Short Term,723.0,563673.0,1.0,Rent,1
65252,Short Term,705.0,1033201.0,10.0,Rent,0
99999999,Short Term,746.0,1039319.0,3.0,Rent,1
99999999,Short Term,712.0,2434147.0,10.0,Home Mortgage,1
178200,Short Term,1077.9915201396682,1369106.0397805213,4.0,Home Mortgage,1
550616,Long Term,716.0,1521672.0,2.0,Rent,1
331958,Long Term,694.0,688028.0,5.950381280685262,Home Mortgage,1
172810,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,0
86240,Short Term,744.0,930905.0,5.950381280685262,Rent,1
193710,Short Term,1077.9915201396682,1369106.0397805213,5.0,Own Home,1
336204,Short Term,1077.9915201396682,1369106.0397805213,5.0,Home Mortgage,1
181368,Short Term,1077.9915201396682,1369106.0397805213,1.0,Rent,0
88374,Short Term,715.0,476995.0,8.0,Rent,1
212146,Short Term,724.0,867825.0,8.0,Rent,1
607376,Short Term,729.0,1292646.0,10.0,Rent,0
295350,Short Term,731.0,867920.0,5.950381280685262,Rent,0
154594,Short Term,695.0,269914.0,1.0,Rent,1
65186,Short Term,726.0,1313375.0,3.0,Rent,1
112046,Short Term,719.0,1257857.0,2.0,Rent,1
219868,Short Term,746.0,797525.0,2.0,Rent,1
218064,Short Term,716.0,1224132.0,3.0,Home Mortgage,1
509608,Short Term,1077.9915201396682,1369106.0397805213,4.0,Own Home,1
53966,Short Term,665.0,349486.0,3.0,Rent,1
311630,Short Term,718.0,841073.0,1.0,Home Mortgage,1
99999999,Short Term,716.0,817798.0,2.0,Rent,1
142912,Short Term,720.0,1832075.0,5.0,Rent,1
96272,Short Term,723.0,622345.0,1.0,Rent,0
154440,Short Term,744.0,929480.0,7.0,Home Mortgage,1
645326,Long Term,732.0,1241669.0,10.0,Home Mortgage,1
585728,Short Term,722.0,2412544.0,10.0,Home Mortgage,1
661122,Short Term,729.0,8279060.0,2.0,Rent,1
280588,Short Term,744.0,969285.0,5.950381280685262,Own Home,1
786940,Long Term,1077.9915201396682,1369106.0397805213,9.0,Home Mortgage,0
263208,Short Term,723.0,1638579.0,10.0,Home Mortgage,1
267564,Short Term,1077.9915201396682,1369106.0397805213,1.0,Rent,0
580118,Short Term,739.0,1541584.0,1.0,Rent,1
58630,Short Term,724.0,1162572.0,4.0,Rent,1
391556,Long Term,1077.9915201396682,1369106.0397805213,3.0,Rent,1
99999999,Short Term,735.0,747156.0,5.0,Home Mortgage,1
391930,Long Term,717.0,1438528.0,8.0,Own Home,0
394526,Long Term,7210.0,1078991.0,10.0,Home Mortgage,0
498058,Short Term,1077.9915201396682,1369106.0397805213,3.0,Rent,0
108284,Short Term,1077.9915201396682,1369106.0397805213,5.950381280685262,Rent,1
326348,Short Term,749.0,1164928.0,10.0,Home Mortgage,1
262460,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,0
264550,Short Term,7480.0,2094389.0,10.0,Home Mortgage,0
249524,Short Term,706.0,1361027.0,10.0,Rent,1
329516,Long Term,716.0,2276580.0,10.0,Home Mortgage,1
220880,Short Term,748.0,1378298.0,10.0,Home Mortgage,1
89320,Short Term,1077.9915201396682,1369106.0397805213,10.0,Rent,1
129228,Short Term,708.0,715008.0,4.0,Rent,0
391688,Long Term,634.0,1691361.0,10.0,Home Mortgage,1
748528,Long Term,725.0,2322047.0,1.0,Home Mortgage,1
35002,Short Term,718.0,340043.0,2.0,Rent,0
99999999,Long Term,723.0,750652.0,10.0,Own Home,1
555016,Long Term,723.0,2971809.0,10.0,Home Mortgage,1
323246,Long Term,707.0,1004967.0,1.0,Home Mortgage,1
190366,Short Term,716.0,460655.0,6.0,Rent,0
452936,Short Term,1077.9915201396682,1369106.0397805213,10.0,Home Mortgage,1
201476,Short Term,702.0,367327.0,4.0,Rent,0
330396,Short Term,674.0,760912.0,10.0,Rent,1
173844,Short Term,717.0,769500.0,10.0,Home Mortgage,1
262570,Short Term,712.0,1814158.0,3.0,Rent,0
